Strains,Year,States/Countries,Organism,Site,MLST,Clade,ST258 CPS,KPC,Tn44011,Integration site,Imipenem,Meropenem,Ertapenem,Doripenem,Ceftazidime,Cefotaxime,Cefepime,Aztreonam,Ticarcillin/Clavulanate,Piperacillin/Tazobactam,Sulphamethoxazole/Trimethoprim,Amikacin,Gentamicin,Tobramycin,Ciprofloxacin,Levofloxacin,Doxycycline,Minocycline,Tigecycline,Colistin,Polymyxin B,_-lactamase,Aminoglycoside Resistance,Quinolone Resistance,ompK35,ompK36,FIIK1(pNJST258N1),FIA(pNJST258N2),rep (pNJST258N3 or pNJST258C3),colE(pNJST258N4 or pNJST258C2),rep(pNJST258N5),rep(pNJST258C1),FIIK23,I2,R,X3,L/M,N,A/C,X4,FIIK5
NJST258_2,2010,NJ,K. pneumoniae,urine,258,2,cps-2,KPC-3,b,2,8,> 8,> 4,> 2,>16,32,>16,>16,> 128/2,> 64/4,<= 0.5/9.5,>32,2,>8,>2,>8,4,4,0.5,0.5,1,"KPC-3, SHV-11",aacA4,"gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,,,1,1,,1,,,,,,,,,
1747,2003,NJ,K. pneumoniae,,258,2,cps-2,-,-,,<= 1,<= 1,<= 0.25,<= 0.12,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,> 8,> 8,> 2,> 8,16,> 16,2,1,1,"SHV-11, SHV-12, TEM-1","aacA4, aadB, aadA2","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,1,,1,,,,,,1,1,,,,
1748,2004,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,d,1,>8,>8,>4,>2,>16,>32,>16,> 16,> 128/2,> 64/4,>4/76,32,8,>8,>2,>8,>16,16,1,1,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2, , strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,1,1,1,1,1,,,,1,,,,,
1749,2004,NYC,K. pneumoniae,,258,2,cps-2,-,-,,<= 1,<= 1,<= 0.25,<= 0.12,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,16,> 16,2,0.5,1,"SHV-11, SHV-12, delta TEM-1","aphA1, aacA4, aadA1, aadA2, ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,,1,,,,,
1750,2004,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,b,2,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,4,4,0.5,0.5,0.5,"KPC-3, TEM-1, SHV-11, SHV-12, OXA-9","aacA4, aadA1, aadA2","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,Ins,1,,1,1,,1,,1,1,1,,,,,
1751,2005,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,b,2,4,8,>4,2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,8,>8,>2,>8,4,4,<0.25,0.5,1,"KPC-3, CTX-M-15, SHV-11, TEM-1, OXA-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,,,1,1,,1,,1,,,,,,,1
1752,2005,NJ,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,>8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,2,>8,>2,>8,4,4,0.5,0.5,0.5,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,CACT(A)AT-10,1,,,1,,,1,,,1,,,,,
1753,2006,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,b,2,4,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,16,16,2,0.5,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,1,,,,,,,
1754,2007,NYC,K. pneumoniae,,258,2,cps-2,KPC-3,b,,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,8,16,2,> 4,> 4,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
1755,2007,NYC,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,8,16,1,> 4,> 4,"KPC-2, SHV-11, SHV-12, TEM-1","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
