isolate,bmd_final,poly_etest
35028,4,NA
35074,2,NA
35075,NA,NA
35075A,2,NA
35077,128,NA
35077A,64,NA
35082,2,NA
35082A,2,NA
35099,2,NA
35099A,2,NA
35102,9999,NA
35102A,8,NA
35106,2,NA
35128,2,NA
35128A,2,NA
35148,8,NA
35148A,2,NA
35148B,2,NA
35148C,2,NA
35152,128,NA
35152A,9999,NA
35172,2,NA
35172A,1,NA
35172B,2,NA
35172C,2,NA
35176,128,NA
35181,9999,NA
35181A,4,NA
35193,1,NA
35193A,128,NA
35194,2,NA
35194A,1,NA
35207,128,NA
35207A,64,NA
35208F,2,NA
35220,9999,NA
35220A,4,NA
35228,2,NA
35229,2,NA
35229A,4,NA
35231,64,NA
35231A,128,NA
35235,0.5,NA
35235A,1,NA
35240,4,NA
35240A,1,NA
35241,2,NA
35244,64,NA
35259,2,NA
35260,2,NA
35260A,1,NA
35275,8,NA
35275A,1,NA
35339,1,NA
35339A,1,NA
KP0035,16,0.5
KP0038,8,2
KP0040,2,0.75
KP0070,1,1.5
KP0092,2,0.379999995
KP0099,2,0.75
KP0100,32,48
KP0104,2,0.5
KP0108,2,0.5
KP0124,2,0.75
KP0126,16,16
KP0152,32,128
KP0162,2,2
KP0177,8,4
KP0197,NA,64
KP0228,2,1.5
KP0231,9999,48
KP0265,2,1
KP0285,4,0.75
KP0286,32,16
KP0291,4,12
KP0292,2,0.189999998
KP0314,NA,0.75
KP0321,2,0.5
KP0430,4,NA
KP0487,2,0.5
KP0505,2,NA
KP0516,16,1.5
KP0522,0.5,0.5
KP0533,8,NA
KP0542,8,64
KP0548,1,0.5
KP0551,64,96
KP0662,4,1.5
KP0704,8,0.5
KP0713,8,6
KP0714,9999,48
KP0728,2,0.75
KP0732,2,0.5
KP0833,1,0.5
KP0835,8,12
KP1003,2,0.5
KP1023,2,NA
KP1026,2,1.5
KP1667,8,2
KP1672,NA,24
KP1674,1,NA
KP1694,2,0.75
NR0017,2,NA
NR0018,32,32
NR0035,8,0.5
NR0063,4,0.5
NR0069,4,0.75
NR0084,32,32
NR0105,1,0.5
NR0114,8,6
NR0171,2,1
NR0219,2,0.5
NR0222,4,24
NR0225,4,NA
NR0234,2,1.5
NR0249,2,0.75
NR0258,8,8
NR0270,1,1
NR0325,16,0.5
NR0326,4,1
NR0330,2,0.5
NR0343,2,0.5
NR0350,2,0.5
NR0364,2,2
NR0390,2,NA
NR0416,2,NA
NR0420,2,0.75
NR0423,2,0.5
NR0443,2,1
NR0461,0.25,2
NR0478,2,0.5
NR0559,2,1
NR0582,8,0.38
NR0624,2,0.5
NR0625,8,1
NR0626,2,0.5
NR0653,8,12
NR0657,1,1.5
NR0686,1,1.5
NR0693,2,1.5
NR0711,8,0.5
NR0787,2,1
NR0789,4,1
NR0803,2,2
NR0853,8,4
NR0891,2,0.38
NR0895,2,0.5
NR0901,8,0.5
NR0932,2,0.75
NR0976,2,0.379999995
NR0999,64,32
NR1045,32,24
NR1091,16,2
NR1113,2,0.75
NR1155,2,0.5
NR1194,1,2
NR1202,1,NA
NR1246,2,0.5
NR1247,64,0.75
NR1280,9999,2
NR1312,2,0.19
NR1320,2,2
NR1360,4,0.5
NR1361,2,1
NR1362,16,32
NR1437,2,0.5
NR1498,16,24
NR1525,2,0.75
NR1532,8,1.5
NR1588,2,0.38
NR1611,2,0.38
NR1643,2,2
NR1644,32,1.5
NR1677,16,0.189999998
NR1678,8,8
NR1679,2,0.75
NR1680,8,8
NR1703,1,NA
NR1735,4,12
NR1749,4,12
NR1750,64,16
NR2316,32,24
NR2357,1,12
NR2363,2,0.5
NR2382,NA,1
NR2393,4,12
NR2401,8,0.75
NR2415,4,24
NR2419,8,32
NR2433,32,16
NR2435,2,12
NR2441,2,1
NR2444,1,0.75
NR2451,NA,NA
NR2462,NA,NA
NR2507,8,24
NR2509,NA,NA
NR2515,NA,NA
NR2517,8,1
NR2520,8,12
NR2526,9999,12
NR2529,9999,32
NR2535,9999,256
NR2567,8,8
NR2603,9999,4096
NR2624,NA,1.5
NR2625,8,6
NR2634,8,4
NR2639,32,2
NR2767,32,32
NR2865,2,4
NR3353,4,1.5
NR3422,16,4
NR3681,4,32
NR3710,NA,1.5
NR4045,16,256
NR4114,8,16
NR4191,8,16
NR4208,2,0.5
NR4448,32,12
NR4647,32,48
NR4929,32,8
NR5048,16,24
NR5051,32,32
NR5052,16,12
NR5053,32,64
NR5054,32,64
NR5055,32,24
NR5058,128,128
NR5059,NA,128
NR5060,16,16
NR5062,16,12
NR5063,NA,32
NR5066,16,16
NR5068,16,32
NR5069,32,64
NR5071,128,256
NR5072,8,8
NR5073,9999,64
NR5077,32,12
NR5080,64,8
NR5082,9999,2048
NR5083,64,4
NR5087,8,4096
NR5089,8,12
NR5090,9999,48
NR5091,8,16
NR5092,32,24
NR5093,8,12
NR5094,16,12
NR5095,16,6
NR5097,9999,64
NR5098,8,12
NR5099,32,64
NR5100,4,32
NR5101,4,12
NR5105,64,96
NR5107,16,2048
NR5110,16,4096
NR5111,32,24
NR5113,16,6
NR5197,16,12
NR5256,1,0.379999995
NR5280,8,2
NR5287,1,0.5
NR5292,32,24
NR5295,1,16
NR5337,2,0.5
NR5415,2,48
NR5417,4,0.5
NR5418,8,1.5
NR5419,8,0.5
NR5422,8,2
NR5424,32,32
NR5426,2,1
NR5427,16,2
NR5433,32,16
NR5434,8,16
NR5435,16,1.5
NR5436,4,0.379999995
NR5437,16,16
NR5442,8,2
NR5447,8,8
NR5448,8,12
NR5451,NA,6
NR5452,2,0.5
NR5453,NA,256
NR5454,16,96
NR5456,0.5,0.25
NR5461,4,0.5
NR5462,2,0.5
NR5464,8,0.75
NR5465,2,0.5
NR5466,1,0.5
NR5468,4,1
NR5470,4,0.5
NR5474,2,0.75
NR5475,32,0.5
NR5476,64,256
NR5478,NA,2
NR5482,9999,0.5
NR5483,2,0.5
NR5485,32,2
NR5486,8,8
NR5644,2,0.125
NR6153,2,NA
NR6211,4,NA
KP1766,16,NA
KP1767,2,NA
KP1768,2,NA
KP1769,2,NA
NR5632,2,NA
NR5706,2,NA
NR5793,1,NA
NR5445,NA,12
KP0044,NA,NA
KP0055,NA,64
KP0145,NA,96
KP0156,NA,32
KP0163,NA,64
KP0233,NA,8
KP0258,NA,NA
KP0278,NA,NA
KP0283,NA,NA
KP0289,NA,NA
KP0474,NA,0.5
KP0498,NA,NA
KP0499,NA,NA
KP0502,NA,NA
KP0510,NA,NA
KP0519,NA,NA
KP0530,NA,NA
KP0535,NA,NA
KP0537,NA,48
KP0540,NA,12
KP0545,NA,12
KP0549,NA,24
KP0668,NA,1
KP0785,NA,NA
KP1018,NA,NA
KP1027,NA,NA
KP1668,NA,0.5
KP1669,NA,1
KP1700,NA,16
KP1722,NA,0.75
KP1723,NA,2
KP1746,NA,0.75
NR0154,NA,NA
NR0199,NA,6
NR0261,NA,0.25
NR0267,NA,0.5
NR0271,NA,16
NR0309,NA,1
NR0317,NA,0.379999995
NR0352,NA,1.5
NR0367,NA,0.379999995
NR0460,NA,0.5
NR0496,NA,0.379999995
NR0635,NA,0.75
NR0638,NA,1
NR0689,NA,1
NR0712,NA,0.5
NR0733,NA,0.5
NR0734,NA,0.379999995
NR0831,NA,4
NR0981,NA,NA
NR1095,NA,0.5
NR1143,NA,0.379999995
NR1144,NA,0.379999995
NR1176,NA,0.5
NR1178,NA,0.379999995
NR1201,NA,NA
NR1319,NA,4096
NR1397,NA,NA
NR1398,NA,1.5
NR1435,NA,1.5
NR1528,NA,1.5
NR1585,NA,16
NR1609,NA,0.75
NR1651,NA,0.5
NR1702,NA,NA
NR1867,NA,12
NR2028,NA,16
NR2220,NA,0.75
NR2261,NA,0.5
NR2296,NA,0.75
NR2337,NA,0.5
NR2355,NA,NA
NR2360,NA,NA
NR2368,NA,32
NR2425,NA,16
NR2470,NA,NA
NR2471,NA,NA
NR2480,NA,NA
NR2498,NA,NA
NR2511,NA,NA
NR2516,NA,0.5
NR2527,NA,NA
NR2536,NA,NA
NR2537,NA,NA
NR2538,NA,NA
NR2540,NA,NA
NR2543,NA,NA
NR2545,NA,NA
NR2559,NA,NA
NR2577,NA,NA
NR2589,NA,NA
NR2602,NA,NA
NR2613,NA,NA
NR2620,NA,NA
NR2621,NA,NA
NR2627,NA,NA
NR2628,NA,NA
NR2629,NA,NA
NR2631,NA,NA
NR2633,NA,NA
NR2693,NA,24
NR2694,NA,0.75
NR2820,NA,8
NR2828,NA,NA
NR2829,NA,8
NR2830,NA,8
NR2844,NA,0.5
NR3230,NA,NA
NR3318,NA,NA
NR3336,NA,1.5
NR3576,NA,2
NR3594,NA,1.5
NR3888,NA,0.379999995
NR3952,NA,0.5
NR4085,NA,12
NR4088,NA,8
NR4097,NA,12
NR4443,NA,NA
NR4461,NA,NA
NR4613,NA,0.5
NR4662,NA,0.5
NR4743,NA,48
NR4963,NA,NA
NR4977,NA,NA
NR4998,NA,NA
NR5049,NA,16
NR5050,NA,12
NR5056,NA,48
NR5057,NA,24
NR5061,NA,16
NR5064,NA,32
NR5065,NA,16
NR5067,NA,8
NR5070,NA,256
NR5074,NA,64
NR5075,NA,6
NR5076,NA,4
NR5078,NA,8
NR5079,NA,8
NR5081,NA,2048
NR5084,NA,8
NR5085,NA,24
NR5086,NA,16
NR5088,NA,24
NR5096,NA,32
NR5102,NA,12
NR5103,NA,12
NR5104,NA,8
NR5106,NA,48
NR5108,NA,16
NR5109,NA,12
NR5190,NA,8
NR5291,NA,16
NR5416,NA,0.75
NR5420,NA,1
NR5421,NA,1
NR5423,NA,0.5
NR5425,NA,0.25
NR5428,NA,1.5
NR5429,NA,2
NR5430,NA,NA
NR5431,NA,0.379999995
NR5432,NA,0.75
NR5438,NA,12
NR5439,NA,4
NR5440,NA,4
NR5441,NA,8
NR5443,NA,0.5
NR5444,NA,16
NR5446,NA,64
NR5449,NA,12
NR5450,NA,0.5
NR5455,NA,32
NR5457,NA,0.5
NR5458,NA,0.5
NR5459,NA,0.379999995
NR5460,NA,0.5
NR5463,NA,0.379999995
NR5467,NA,0.5
NR5469,NA,128
NR5471,NA,0.5
NR5472,NA,0.75
NR5473,NA,64
NR5477,NA,0.379999995
NR5479,NA,1
NR5480,NA,24
NR5481,NA,0.189999998
NR5484,NA,0.5
NR0708,NA,NA
