Strain name,Accession,BioProject,PacBio Accession ,Isolation Year,Hospital,Geographic location,Infection Source,KPC allele,MLST sequence type,wzi type,piperacillin-tazobactam,ticarcillin/clavulanate,cefotaxime,ceftazidime,cefepime,aztreonam,ertapenem,imipenem,meopenem,doripenem,trimethoprim-sulfamethoxazole,doxycycline,minocycline,tigecycline,ciprofloxacin,levlofloxacin,colistin,polymixin B,gentamicin,tobramycin,amikacin
UHKPC57,ARPR00000000,PRJNA187309,,2008,UH,Cleveland_OH_USA,catheter,2,15,93,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,16,4,0.5,> 2,4,<= 0.25,0.5,> 8,> 8,8
UHKPC179,ARSM00000000,PRJNA187310,,2008,UH,Cleveland_OH_USA,blood,nonea,15,93,> 64/4,> 128/2,> 32,> 16,> 16,> 16,0.5,<= 1,<= 1,<= 0.12,> 4/76,> 16,8,1,> 2,8,> 4,> 4,> 8,> 8,<= 4
DMC0799,ARRZ00000000,PRJNA187289,,2010,Metropolitan,Detroit_MI_USA,blood,2,45,101,> 64/4,> 128/2,4,16,<= 2,> 16,4,4,4,2,<= 0.5/9.5,4,4,0.5,0.5,<= 1,<= 0.25,0.5,4,8,<= 4
UHKPC81,APVQ00000000,PRJNA187304,,2008,UH,Cleveland_OH_USA,urine,2,234,114,> 64/4,> 128/2,8,> 16,8,> 16,> 4,8,> 8,> 2,> 4/76,8,8,0.5,> 2,2,> 4,> 4,> 8,> 8,16
UHKPC40,AQOT00000000,PRJNA187279,,2008,UH,Cleveland_OH_USA,blood,3,258,81*,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,16
UHKPC23,AQQA00000000,PRJNA187280,,2008,UH,Cleveland_OH_USA,blood,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,0.5,0.5,<= 1,> 8,32
UHKPC28,ARRU00000000,PRJNA187281,,2008,UH,Cleveland_OH_USA,blood,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,<= 0.5/9.5,8,8,1,> 2,> 8,> 4,> 4,<= 1,> 8,32
UHKPC05,ARVM00000000,PRJNA187282,JNBM00000000,2008,UH,Cleveland_OH_USA,blood,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,0.5,> 2,> 8,<= 0.25,0.5,2,> 8,32
UHKPC47,ARRV00000000,PRJNA187283,,2008,UH,Cleveland_OH_USA,blood,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,<= 1,> 8,32
UHKPC67,ARSL00000000,PRJNA187284,,2008,UH,Cleveland_OH_USA,blood,3,258,81*,> 64/4,> 128/2,32,> 16,8,> 16,> 4,4,8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,1,> 8,> 8,16
UHKPC69,ARRW00000000,PRJNA187285,,2008,UH,Cleveland_OH_USA,blood,3,258,81*,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,16,16,1,> 2,> 8,<= 0.25,0.5,> 8,> 8,16
